id,ref_point,extent_x,extent_y,extent_z,surface_area,volume,SA/volume,sphericity,elongation,PCA_var_0,PCA_var_1,PCA_var_2,CH_area,CH_volume,convexity,out_of_bounds
78818834902962607,"49141, 43564, 1022",156,222,21,8702,25782,0.338,991.343,10.571,0.985,0.013,0.002,15521.459,59262.167,0.435,N
78678578518254099,"48349, 47352, 1344",35,41,18,2507,13063,0.192,92.337,2.278,0.546,0.35,0.104,2956.614,12649.333,1.033,N
78678784676538868,"48261, 49049, 1321",104,167,68,6658,22204,0.3,598.644,2.456,0.986,0.011,0.003,13510.393,63963.0,0.347,Y
76422655535885246,"32022, 16722, 1297",59,51,10,2899,7472,0.388,436.386,5.9,0.91,0.081,0.009,3621.27,9725.167,0.768,N
81210959821520969,"66678, 40738, 1006",33,33,10,1069,2108,0.507,274.911,3.3,0.857,0.128,0.015,1423.637,2627.5,0.802,N
79310247814344824,"52870, 35197, 924",188,48,22,7039,19276,0.365,938.64,8.545,0.97,0.028,0.001,12794.85,42491.667,0.454,N
79241734496140780,"52559, 48885, 983",33,25,11,1164,3806,0.306,108.873,3.0,0.774,0.159,0.067,1402.149,3626.667,1.049,N
79452909448121214,"53905, 49364, 959",31,50,11,1948,5886,0.331,213.367,4.545,0.854,0.126,0.021,2269.705,5591.5,1.053,N
80015653243164482,"58245, 47867, 1005",61,41,17,3646,13712,0.266,257.78,3.588,0.709,0.263,0.027,4243.035,14914.5,0.919,N
77904384826177987,"42500, 46161, 1048",86,111,15,4440,11368,0.391,677.3,7.4,0.978,0.017,0.005,6973.396,22382.167,0.508,N
78116384345060649,"44134, 52869, 962",20,40,9,1354,3825,0.354,169.665,4.444,0.812,0.152,0.036,1546.53,3607.333,1.06,N
78257327991801209,"45051, 54595, 926",26,36,10,1448,4744,0.305,134.901,3.6,0.624,0.321,0.055,1653.53,4366.833,1.086,N
78257946467113679,"45109, 59362, 933",23,102,12,2485,4975,0.499,620.002,8.5,0.975,0.022,0.004,3634.464,6473.333,0.769,Y
76216703129959009,"30262, 54993, 820",40,55,13,2233,7412,0.301,202.673,4.231,0.872,0.104,0.025,2703.522,7563.5,0.98,N
75513428005147650,"25323, 58200, 882",290,169,25,11553,32705,0.353,1441.637,11.6,0.989,0.009,0.002,31140.626,177353.833,0.184,N
75723572164983529,"26968, 50816, 874",31,31,14,1550,6191,0.25,97.157,2.214,0.498,0.418,0.084,1837.416,5821.333,1.064,N
76637678644651836,"33674, 45915, 943",44,23,7,1598,3564,0.448,321.259,6.286,0.803,0.18,0.017,1795.322,3415.667,1.043,Y
76496872436787142,"32192, 45487, 906",241,124,46,10262,29438,0.349,1247.037,5.239,0.977,0.022,0.001,23938.443,108246.333,0.272,N
76004291294326885,"29099, 45369, 1028",77,126,24,5996,19852,0.302,546.986,5.25,0.938,0.048,0.014,10261.038,49432.333,0.402,N
77199666592326219,"37717, 38586, 1104",112,90,16,4433,12153,0.365,589.829,7.0,0.979,0.015,0.006,7110.185,25137.333,0.483,N
76635960657813239,"33617, 32845, 994",41,38,15,2427,9672,0.251,152.819,2.733,0.568,0.378,0.054,2787.848,9590.333,1.009,N
76143310728936201,"29803, 32731, 904",52,54,13,3514,14264,0.246,213.266,4.154,0.759,0.212,0.029,3978.07,13869.167,1.028,N
75439348409282937,"24798, 30634, 926",41,41,17,2818,13695,0.206,119.316,2.412,0.56,0.372,0.069,3279.513,13248.333,1.034,N
75369117104010893,"24251, 31685, 896",72,48,15,3792,16225,0.234,207.126,4.8,0.859,0.116,0.025,4542.43,16565.833,0.979,N
75228448335277952,"23437, 31752, 978",19,21,8,587,1292,0.454,121.168,2.625,0.543,0.378,0.079,704.556,1263.5,1.023,N
75158010871554890,"22567, 31591, 943",30,25,5,963,1812,0.531,271.996,6.0,0.79,0.19,0.019,1065.396,1429.5,1.268,Y
74876329736395168,"20696, 30182, 924",60,37,14,2875,9033,0.318,291.239,4.286,0.824,0.157,0.019,3321.719,9716.667,0.93,N
74101792648249465,"15318, 26170, 1395",85,152,41,5370,17159,0.313,525.943,3.707,0.986,0.008,0.007,8893.914,35810.333,0.479,N
75651004397787784,"26313, 34639, 1021",38,105,30,4297,15326,0.28,337.783,3.5,0.963,0.027,0.01,5613.815,20799.333,0.737,N
75791948044451282,"27495, 35895, 942",135,67,12,5219,11619,0.449,1052.99,11.25,0.957,0.04,0.003,8566.066,21247.5,0.547,Y
78468502943897432,"46872, 54905, 982",46,47,17,2280,6963,0.327,244.462,2.765,0.879,0.103,0.018,2705.292,7339.5,0.949,N
78750252798382735,"48934, 57241, 899",29,28,8,1205,3048,0.395,188.335,3.625,0.649,0.316,0.035,1346.967,2774.667,1.099,N
76356822143025004,"31648, 50318, 828",30,33,13,1730,6572,0.263,119.879,2.538,0.536,0.388,0.076,1983.644,6418.5,1.024,N
76358196532717717,"31309, 60154, 887",140,300,37,10411,26193,0.397,1644.776,8.108,0.992,0.006,0.002,20056.123,87024.5,0.301,Y
